time_key,customer_key,product_key,employee_key,shipper_key,Quantity_detail,UnitPrice_detail,Discount_detail,line_total,order_id,Quantity,Unit Price,Discount,order_date
1.0,85,11,5,3.0,12.0,14.0,0.0,168.0,,,,,
1.0,85,42,5,3.0,10.0,9.8,0.0,98.0,,,,,
1.0,85,72,5,3.0,5.0,34.8,0.0,174.0,,,,,
2.0,79,14,6,1.0,9.0,18.6,0.0,167.4,,,,,
2.0,79,51,6,1.0,40.0,42.4,0.0,1696.0,,,,,
3.0,34,41,4,2.0,10.0,7.7,0.0,77.0,,,,,
3.0,34,51,4,2.0,35.0,42.4,0.1500000059604644,1261.3999911546707,,,,,
3.0,34,65,4,2.0,15.0,16.8,0.1500000059604644,214.19999849796292,,,,,
3.0,84,22,3,1.0,6.0,16.8,0.050000000745058,95.75999992489815,,,,,
3.0,84,57,3,1.0,15.0,15.6,0.050000000745058,222.2999998256564,,,,,
3.0,84,65,3,1.0,20.0,16.8,0.0,336.0,,,,,
4.0,76,20,4,2.0,40.0,64.8,0.050000000745058,2462.399998068809,,,,,
4.0,76,33,4,2.0,25.0,2.0,0.050000000745058,47.4999999627471,,,,,
4.0,76,60,4,2.0,40.0,27.2,0.0,1088.0,,,,,
5.0,34,31,3,2.0,20.0,10.0,0.0,200.0,,,,,
5.0,34,39,3,2.0,42.0,14.4,0.0,604.8000000000001,,,,,
5.0,34,49,3,2.0,40.0,16.0,0.0,640.0,,,,,
6.0,14,24,5,2.0,15.0,3.6,0.1500000059604644,45.89999967813492,,,,,
6.0,14,55,5,2.0,21.0,19.2,0.1500000059604644,342.7199975967407,,,,,
6.0,14,74,5,2.0,21.0,8.0,0.0,168.0,,,,,
7.0,68,2,9,3.0,20.0,15.2,0.0,304.0,,,,,
7.0,68,16,9,3.0,35.0,13.9,0.0,486.5,,,,,
7.0,68,36,9,3.0,25.0,15.2,0.0,380.0,,,,,
7.0,68,59,9,3.0,30.0,44.0,0.0,1320.0,,,,,
8.0,88,53,3,2.0,15.0,26.2,0.0,393.0,,,,,
8.0,88,77,3,2.0,12.0,10.4,0.0,124.8,,,,,
9.0,35,27,4,3.0,25.0,35.1,0.0,877.5,,,,,
9.0,35,39,4,3.0,6.0,14.4,0.0,86.4,,,,,
9.0,35,77,4,3.0,15.0,10.4,0.0,156.0,,,,,
10.0,20,2,1,1.0,50.0,15.2,0.2000000029802322,607.9999977350235,,,,,
10.0,20,5,1,1.0,65.0,17.0,0.2000000029802322,883.9999967068434,,,,,
10.0,20,32,1,1.0,6.0,25.6,0.2000000029802322,122.87999954223636,,,,,
11.0,13,21,4,3.0,10.0,8.0,0.0,80.0,,,,,
11.0,13,37,4,3.0,1.0,20.8,0.0,20.8,,,,,
12.0,56,41,4,1.0,16.0,7.7,0.25,92.4,,,,,
12.0,56,57,4,1.0,50.0,15.6,0.0,780.0,,,,,
12.0,56,62,4,1.0,15.0,39.4,0.25,443.25,,,,,
12.0,56,70,4,1.0,21.0,12.0,0.25,189.0,,,,,
12.0,61,21,4,2.0,20.0,8.0,0.0,160.0,,,,,
12.0,61,35,4,2.0,20.0,14.4,0.0,288.0,,,,,
13.0,65,5,8,3.0,12.0,17.0,0.2000000029802322,163.19999939203262,,,,,
13.0,65,7,8,3.0,15.0,24.0,0.0,360.0,,,,,
13.0,65,56,8,3.0,2.0,30.4,0.0,60.8,,,,,
14.0,20,16,9,3.0,60.0,13.9,0.25,625.5,,,,,
14.0,20,24,9,3.0,28.0,3.6,0.0,100.8,,,,,
14.0,20,30,9,3.0,60.0,20.7,0.25,931.5,,,,,
14.0,20,74,9,3.0,36.0,8.0,0.25,216.0,,,,,
15.0,24,2,6,3.0,35.0,15.2,0.0,532.0,,,,,
15.0,24,41,6,3.0,25.0,7.7,0.1500000059604644,163.6249988526106,,,,,
16.0,7,17,2,1.0,30.0,31.2,0.0,936.0,,,,,
16.0,7,70,2,1.0,20.0,12.0,0.0,240.0,,,,,
17.0,87,12,3,3.0,12.0,30.4,0.050000000745058,346.5599997282028,,,,,
18.0,25,40,4,1.0,50.0,14.7,0.0,735.0,,,,,
18.0,25,59,4,1.0,70.0,44.0,0.1500000059604644,2617.9999816417694,,,,,
18.0,25,76,4,1.0,15.0,14.4,0.1500000059604644,183.59999871253967,,,,,
